,Title,Department,Details,Amount,State,City,Date
123,Fir related ,Filing FIR,Sister huspand illegal contact to other person so ithu visayama complaint panunom sister huspand vera ora ponu kuda palakam...,400, Tamil Nadu,Coimbatore,"December 13, 2019"
124,Paid Rs 2000 as bribe to traffic police at Kalka Temple New delhi ,"Traffic Fines, Penalties, Rules",I am driving my car from Nehru Place to Mayur Vihar Delhi on 11-12-2019(Wednesday)  at  5:00 PM.    At Kalka ji temple red light traffic police stoppe...,"2,000", Delhi,New Delhi,"December 12, 2019"
125,THE AGENT TOOK 300 RS ONLY FOR GIVING DIRECTION HERE AND  ,Services,THERE ARE MANY TAPRI DRIVING LICENSE OR STALL SURROUNDING   RTO OFFICE BY THE WAY YOU CANT FIND RTO OFFICE NAGPUR LOCATION ON GOOGLE MAPS BECAUSE ITS ...,300, Maharashtra,Nagpur,"December 11, 2019"
126,The Accountant asked for bribe for getting passbook updated,Money Order and Passbook,"I visited the post office to get a new passbook, the accountant told me that there are none left but as I don't live in town he can arrange one for me...","1,000", Jharkhand,Lohardaga,"December 11, 2019"
127,Bribe for online motation ,,"On 14 - 11- 2019 the tahsildar of block , revenue department manpur gaya bihar 
Name Showarup
Digenation - land revenue tahsildar at block level manpu...","30,000", Bihar,Gaya,"December 10, 2019"
128,Kalluripalli Housing Board Officer Asks For A Bribe,Aadhaar Card Process,I bought a piece of auctioned land in April 2019 from Kalluripalli Housing Board Govt. office. The auction went smooth and I signed the paperwork and ...,"10,000", Andhra Pradesh,Nellore,"December 10, 2019"
129,Teacher gets bribe from students,School or College Related,"Name of the officer: Dr.Junior sundresh
Date:9-12-2019
Time:5:00pm
Location: Rajah muthiah medical college,chidambaram,608002
Designation: surgery -5 ...",500, Tamil Nadu,Cuddalore,"December  9, 2019"
130,For sale deed transfer,Registrations and Licenses,In Sub registrar office Domlur for property registration I have paid Bribe of 15000 at 28th November 2019....,800, Karnataka,Bangalore,"December  9, 2019"
131,Excessive charges as penalty from the Police Person and time waste,"Traffic Fines, Penalties, Rules","He was charging us for a lot of penalties riding over the bike. And calculatingly was issuing a lot of fines. That wasn't fair, he wanted a bribe....",500, Karnataka,Bangalore,"December  9, 2019"
132,Bribe paid to get a bike that was being toed,"Traffic Fines, Penalties, Rules",This incident took place in electronic city near Infosys office when i had parked my two wheeler in an area that looked like a parking and had no no p...,"1,200", Karnataka,Bangalore,"December  8, 2019"
133,Head Constable Delhi Police,"Traffic Fines, Penalties, Rules","At 8:40 am, when were travelling from Noida towards Punjab. While we were in between ISBT and Majnu Ka Tila, we were stopped by a police comestible an...","3,000", Delhi,New Delhi,"December  8, 2019"
134,Bribe for new water and sewage connection,Water Connection,"In Chennai, Maduravoyal, Sivaprakasam and his co officials requested a bribe of 30000 to be paid to get new metro water and sewage connection. This am...","30,000", Tamil Nadu,Chennai,"December  5, 2019"
135,Not issuing professional tax registration certificate ,Professional Tax,I applied for professional tax on march 2019 but due to technical issue i could not get acknowledgement no .when i asked customer care they ask submit...,500, Bihar,Begusarai,"December  4, 2019"
136,Police Verification for Passport issue,Verification and Certificates,"ASI Rishipal Singh of DLF Phase 1 police station demanded and recieved a Rs. 500 bribe from me to complete my passport verification. On a subsequent ""...","1,000", Haryana,Gurgaon,"December  4, 2019"
137,We are doing paid water supply to the vulnerable villages to the coalition of AP.Govt,Bills and Payment,"We submitted all the details about distribution of water supply to the officer...but he asking 5000rs bribe to his service..
His name:RAMANA
Residence...","5,000", Andhra Pradesh,Chittoor,"December  3, 2019"
138,"Corrupt Branch manager, Indian Bank",Loans,"Corrupt Indian Bank Manager: Vasanth Kumar, JP Nagar 1st Phase Bangalore branch did force to meet in Bommanahalli, he did accept bribe to pass loan pa...","1,00,000", Karnataka,Bangalore,"December  2, 2019"
139,Corruption at sub register office bommanahalli,Land Registration,"I was forced to pay bribe to corrupt senior sub register, Manjunatha & it's staff Suresh through middle men / agent Murli Dwarka, at Bommanahalli offi...","25,000", Karnataka,Bangalore,"December  2, 2019"
140,Bribe asked for certificates,College Leaving Certificate,Bribe was asked in the admission department of l.s. Collage after admission is done in favour of returning the veryfying certifivmcates...,100, Bihar,Muzaffarpur,"December  1, 2019"
141,Registration of flat,,"The BTM sub registrar office is full of corrupt people and Kumari Roopa, the Chief Sub registrar there is an absolutely corrupt officer and she asked ...","11,000", Karnataka,Bangalore,"December  1, 2019"
142,Useless RTO people name PRASAD who is a helper there not even an officer,Others,"PRASAD
15-04-2016
2-3pm
RTO office chittoor
he is not an officer he is just a helper there...","10,000", Andhra Pradesh,Chittoor,"November 30, 2019"
143,Principal  asking Rs:- 50000 by cash to my child in L.G.K Standard ,Employee Grievances,At the time of Admission  in School Principal has told me we take Rs:- 50000 by Cheque for Per-Kg Standard & if your Child is Capable for L.K.G than w...,"50,000", Tamil Nadu,Chennai,"November 30, 2019"
144,Pressuring to give bribe. ,"Traffic Fines, Penalties, Rules","Hello,

It all started in 2017. I was involved in a car accident in zirakpur, Mohali. It was my fault and i agreed to the same. As a dog came in front...","15,000", Punjab,Patiala,"November 29, 2019"
145,Address  reasons,Police Clearance Certificate,"If  address  is incorrect Psk employee can reject  my application , psk employee  same please  fill address  as per addhar card address  is mentioned,...","1,000", Maharashtra,Pune,"November 29, 2019"
146,House no is not mentioned in address that reasons ,,"Passport verification police officers,  ask me bribe to house no is not in address,  locations  is hinjawadi police station,  he pressure me you appli...","1,000", Maharashtra,Pune,"November 29, 2019"
147,Driving license related,Services,"Without a broker, they are failing in LL TEST
WE NEED TO PAY 1500+ TO BROKER  THEY WILL PUT THEIR BROKER LETTER ON THTT FILE
WHERE AN RTO OFFICER CAN ...","1,500", Karnataka,Chikballapur,"November 29, 2019"
148,Paid a bribe to get encumberance certificate,Certificates,"I paid a bribe of Rs 500 to get signed copy of encumbrance certificate. The assigned officer told me it would be stalled for 15 days otherwise.
The br...",500, Karnataka,Bangalore,"November 28, 2019"
149,Toll away of vehicles,"Traffic Fines, Penalties, Rules","I had parked my vehicle in a parking space near lavelle Road, Ashok Nagar. And I had taken the photograph of my bike being parked in a parking space o...",650, Karnataka,Bangalore,"November 28, 2019"
150,Paid in  the name of lawyer fees,Property Registration,"Sir,
After paying thousands as lawyer fee during property registration, I request the following to note. The registration staff has commited a mistake...","34,000", Karnataka,Bangalore,"November 28, 2019"
151,"Prem Chand(Head Constible) Saket Police Station,New Delhi Taken A Bribe Of 17000/-","Traffic Fines, Penalties, Rules","My Name Is Dhruv Singh And I am a fashion designer by proffession,on 23rd of november 2019,there is an event in my showroom for which i purchased some...","17,000", Delhi,New Delhi,"November 28, 2019"
152,Property Registration,Property Registration,The bribe paid was for registering my property and it was paid to the Subregistrar at the office at Sahakar Nagar opposite to Chariman's club in Banga...,"9,500", Karnataka,Bangalore,"November 27, 2019"
153,Indira Gandhi International Airport terminal 3,Excess Baggage,"Hi,

On 24NOV2019 at 11:00 am on my way back to Stockholm with the flight AI167 I had an incident with a person who was staying at the business class ...","2,500", Delhi,New Delhi,"November 26, 2019"
154,They asking me bribe for community certificate ,Certificates,I applied Community certificate on Nov 15 in mannargudi my vao signed two days later butaftr I went to mannargudi taluk office in that assistant of RI...,100, Tamil Nadu,Thiruvarur,"November 26, 2019"
155,Birhalganj police asking for bribe,FIR and Complaints,I went to Lodge a complaint against my sister in law she is having extra Marital affair the birhalgnj police inspector asking me rs 10000 for register...,"10,000", Uttar Pradesh,Gorakhpur,"November 26, 2019"
156,Paid bribe for bike towed from parking place,"Traffic Fines, Penalties, Rules",Evening I parked my bike and went to a restaurant. The parking place was not blocking the road nor it was on footpath. And there was no board mentioni...,"1,000", Karnataka,Bangalore,"November 24, 2019"
157,Over speeding,"Traffic Fines, Penalties, Rules","Caught next to hosa road bangalore for over speeding.. bribe collected was rs.350.. 
99%of police are trying to bribe in bangalore.....",350, Karnataka,Bangalore,"November 24, 2019"
158,Corruption,Land Registration,"Name of the officer: vijay kumar (VRO)
Date of incident: oct 2
Time of the incidents 12:35pm
Location: mahabubabad district
Incident took place in MRO...","8,000", Telangana,Yellandu,"November 23, 2019"
159,"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000",Verification and Certificates,"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000.We did not have the original rc book in our hand.Then they bought...","1,000", Tamil Nadu,Pollachi,"November 23, 2019"
160,Traffic Cop Took Bribe ,"Traffic Fines, Penalties, Rules",Beach station Traffic Cop has 4 - 5 men to collect his bribe. He doesn't talk to us directly. He asked us to talk to them to take our towed vehicle. T...,150, Tamil Nadu,Chennai,"November 23, 2019"
161,Department not moving the fields closing with out any information,Caste Certificate,I had asked for podi of my land and past 3 year submitting application not doing anything accepting some thing not doing anything...,"1,000", Karnataka,Tumkur,"November 22, 2019"
162,Address Verification for Passport Application,Verification and Certificates,Police officer in charge to conduct address verification regarding my application for new passport asked to pay bribe of Rs.1000 to clear verification...,"1,000", Maharashtra,Satara,"November 21, 2019"
163,Paid bribe to police officer for passport verification,Policies and Procedures,"I have paid 2000 for passport verification in pandra thana in ranchi for my father ,mother and myself ....","2,000", Jharkhand,Ranchi,"November 21, 2019"
164,Conflict of interest.,Commercial and Industrial,Additional manager of gail Vikas Agarwal has been corruptimg the system along with his wife and cousin from cbse. He got my company aashima foods a co...,"68,000", Delhi,New Delhi,"November 21, 2019"
165,They are taking condonation over the limite,Certificates,"My self preetham I'm from vizag I'm studied  in Sankethika government college ,  as my health condition was not good I couldn't go to CLG few months ,...","10,000", Andhra Pradesh,Visakhapatnam,"November 20, 2019"
166,Fraud company,Others,"Company name- career care solutions, delhi
Owner name- Tarun Rana & Arun Rana
Location- Barakhabha road, Cannaught Lane, delhi-110001
Date- 25 oct, 20...","2,200", Haryana,Gurgaon,"November 19, 2019"
167,For a signature that he visited my native place to confirm I am staying in that place from past 20 y,Certificates,"As per the rule, Police officer has to visit our village and has to take signatures of neighbours for verification, he said I won't come as I did not ...",500, Andhra Pradesh,Punganur,"November 19, 2019"
168,License LLR ,Others,I have been asked to pay extra money for the issue of LLR...,300, Andhra Pradesh,Vijayawada,"November 18, 2019"
169,Amount paid to obtain food license,Food License,Even though all documents which were necessary were produced the officer by name Uday kept on asking office expenses(bribe) upon refusal he delayed th...,"4,000", Karnataka,Bangalore,"November 18, 2019"
170,Paid bribe for birth certificate,Certificates,I couldn't remember exact date but i bribed my uncle in order to get my birth certificate .  We approached him to get the certificate as soon as possi...,"4,000", Andhra Pradesh,Guntur,"November 18, 2019"
171,Constable asked for bribe ,Policies and Procedures,"Two constables came to my home for verification and asked for 2000/- bribe later, they settled for 1000/-....","1,000", Telangana,Ramagundam,"November 18, 2019"
172,LEGAL METROLOGY,Others,"Hi sir i am using weighing machine since 4 years ,as per government rule i should renewal it every year , the renewal amount is just 350 rupees ,but t...",650, Andhra Pradesh,Rajahmundry,"November 18, 2019"
173,No license,Autorickshaws,"I was fined but I gave bribe and escaped from there. But later felt very bad of doing it. And the very next week I applied for licence
...",500, Andhra Pradesh,Guntakal,"November 18, 2019"
